customer,recency,frequency,monetary,country,R,F,M,group,cluster,labels
14355,386,1,174.4,United Kingdom,1,1,1,111,0,GONE
15355,13,2,277.05,United Kingdom,2,2,1,221,4,LIKELY GONE
15562,372,1,134.55,United Kingdom,1,1,1,111,0,GONE
16393,2,13,3040.96,United Kingdom,4,4,4,444,2,HOT
16811,8,2,547.07,United Kingdom,2,2,2,222,3,PROSPECTIVE
17157,14,2,319.0,United Kingdom,2,2,2,222,4,LIKELY GONE
17574,19,1,185.65,United Kingdom,1,1,1,111,4,LIKELY GONE
17675,0,31,20374.28,United Kingdom,4,4,4,444,2,HOT
17772,1,2,173.45,United Kingdom,4,2,1,421,1,REGULAR
18168,11,6,1160.04,United Kingdom,2,4,3,243,3,PROSPECTIVE
12346,12,1,77183.6,United Kingdom,2,1,4,214,2,HOT
12461,22,2,826.88,Switzerland,1,2,3,123,3,PROSPECTIVE
12491,29,1,460.4,France,1,1,2,112,4,LIKELY GONE
13533,13,3,269.09,United Kingdom,2,3,1,231,4,LIKELY GONE
14338,3,2,588.22,United Kingdom,3,2,2,322,1,REGULAR
14967,9,1,463.8,United Kingdom,2,1,2,212,4,LIKELY GONE
15963,5,2,470.76,United Kingdom,3,2,2,322,1,REGULAR
15996,3,6,1032.58,United Kingdom,3,4,3,343,3,PROSPECTIVE
16214,8,3,1062.75,United Kingdom,2,3,3,233,3,PROSPECTIVE
16278,0,1,566.38,United Kingdom,4,1,2,412,1,REGULAR
16643,22,1,487.51,United Kingdom,1,1,2,112,4,LIKELY GONE
16907,8,5,928.76,United Kingdom,2,4,3,243,3,PROSPECTIVE
16909,2,1,379.14,United Kingdom,4,1,2,412,1,REGULAR
17025,20,3,357.77,United Kingdom,1,3,2,132,4,LIKELY GONE
17680,14,1,184.4,United Kingdom,2,1,1,211,4,LIKELY GONE
17889,9,2,201.37,United Kingdom,2,2,1,221,4,LIKELY GONE
17894,0,8,1118.96,United Kingdom,4,4,3,443,2,HOT
17901,20,1,110.38,United Kingdom,1,1,1,111,4,LIKELY GONE
12500,5,11,4257.82,Germany,3,4,4,344,2,HOT
12936,8,4,1063.9,United Kingdom,2,3,3,233,3,PROSPECTIVE
12993,14,4,414.76,United Kingdom,2,3,2,232,3,PROSPECTIVE
13067,12,1,115.46,United Kingdom,2,1,1,211,4,LIKELY GONE
13247,8,4,501.12,United Kingdom,2,3,2,232,3,PROSPECTIVE
13529,8,2,307.76,United Kingdom,2,2,2,222,4,LIKELY GONE
13583,23,1,781.03,United Kingdom,1,1,3,113,4,LIKELY GONE
13712,23,1,228.84,United Kingdom,1,1,1,111,4,LIKELY GONE
13991,3,6,852.88,United Kingdom,3,4,3,343,1,REGULAR
14198,9,4,701.4,United Kingdom,2,3,3,233,3,PROSPECTIVE
14216,7,4,1839.3,United Kingdom,3,3,4,334,3,PROSPECTIVE
14290,2,5,2314.65,United Kingdom,4,4,4,444,2,HOT
14387,4,3,1727.6,United Kingdom,3,3,4,334,3,PROSPECTIVE
14547,3,8,3974.75,United Kingdom,3,4,4,344,2,HOT
15098,20,3,39916.5,United Kingdom,1,3,4,134,2,HOT
15482,3,12,10879.76,United Kingdom,3,4,4,344,2,HOT
15977,0,2,1054.73,United Kingdom,4,2,3,423,1,REGULAR
17091,11,9,3827.76,United Kingdom,2,4,4,244,2,HOT
17313,22,1,2328.84,United Kingdom,1,1,4,114,3,PROSPECTIVE
17506,5,1,302.2,United Kingdom,3,1,1,311,4,LIKELY GONE
17517,26,1,153.94,United Kingdom,1,1,1,111,4,LIKELY GONE
17937,3,7,4301.22,United Kingdom,3,4,4,344,2,HOT
18037,0,6,70.02,United Kingdom,4,4,1,441,1,REGULAR
12576,17,5,1315.83,Poland,1,4,3,143,3,PROSPECTIVE
12719,25,2,644.95,France,1,2,2,122,3,PROSPECTIVE
13120,15,1,30.6,United Kingdom,2,1,1,211,4,LIKELY GONE
13690,19,1,172.25,United Kingdom,1,1,1,111,4,LIKELY GONE
13801,26,1,324.8,United Kingdom,1,1,2,112,4,LIKELY GONE
14031,0,19,17286.86,United Kingdom,4,4,4,444,2,HOT
14104,3,2,216.21,United Kingdom,3,2,1,321,1,REGULAR
14495,10,2,123.8,United Kingdom,2,2,1,221,4,LIKELY GONE
14542,23,1,103.25,United Kingdom,1,1,1,111,4,LIKELY GONE
14603,20,1,660.0,United Kingdom,1,1,2,112,4,LIKELY GONE
15044,0,17,7634.73,United Kingdom,4,4,4,444,2,HOT
15639,2,1,425.32,United Kingdom,4,1,2,412,1,REGULAR
15852,4,2,160.71,United Kingdom,3,2,1,321,4,LIKELY GONE
16113,21,1,161.38,United Kingdom,1,1,1,111,4,LIKELY GONE
16284,10,2,812.68,United Kingdom,2,2,3,223,3,PROSPECTIVE
16305,6,1,361.22,United Kingdom,3,1,2,312,4,LIKELY GONE
16780,0,2,422.24,United Kingdom,4,2,2,422,1,REGULAR
17198,14,3,692.22,United Kingdom,2,3,3,233,3,PROSPECTIVE
17513,2,1,513.2,United Kingdom,4,1,2,412,1,REGULAR
12743,2,2,540.13,Unspecified,4,2,2,422,1,REGULAR
13659,7,2,1563.0,United Kingdom,3,2,3,323,3,PROSPECTIVE
13880,12,13,3219.77,United Kingdom,2,4,4,244,2,HOT
14052,10,1,225.36,United Kingdom,2,1,1,211,4,LIKELY GONE
14150,26,2,658.64,United Kingdom,1,2,2,122,3,PROSPECTIVE
14389,25,2,1043.46,United Kingdom,1,2,3,123,3,PROSPECTIVE
14643,8,2,693.81,United Kingdom,2,2,3,223,3,PROSPECTIVE
15145,3,4,1194.73,United Kingdom,3,3,3,333,3,PROSPECTIVE
15171,18,1,1289.5,United Kingdom,1,1,3,113,3,PROSPECTIVE
15238,20,3,1071.99,United Kingdom,1,3,3,133,3,PROSPECTIVE
15547,0,14,4910.6,United Kingdom,4,4,4,444,2,HOT
15812,0,5,1801.14,United Kingdom,4,4,4,444,1,REGULAR
16406,9,1,154.35,United Kingdom,2,1,1,211,4,LIKELY GONE
16613,0,1,618.59,United Kingdom,4,1,2,412,1,REGULAR
16756,21,1,239.4,United Kingdom,1,1,1,111,4,LIKELY GONE
16902,15,1,1706.88,United Kingdom,2,1,4,214,3,PROSPECTIVE
17058,6,3,1179.89,United Kingdom,3,3,3,333,3,PROSPECTIVE
17419,2,12,4226.57,United Kingdom,4,4,4,444,2,HOT
17728,16,3,2876.01,United Kingdom,1,3,4,134,3,PROSPECTIVE
17830,6,3,398.7,United Kingdom,3,3,2,332,3,PROSPECTIVE
17976,393,1,321.79,United Kingdom,1,1,2,112,0,GONE
18044,1,10,2088.6,United Kingdom,4,4,4,444,2,HOT
18235,1,3,1796.48,United Kingdom,4,3,4,434,1,REGULAR
12644,28,1,477.91,Germany,1,1,2,112,4,LIKELY GONE
12871,14,2,380.64,United Kingdom,2,2,2,222,4,LIKELY GONE
13314,3,3,775.94,United Kingdom,3,3,3,333,1,REGULAR
13784,0,11,2462.79,United Kingdom,4,4,4,444,2,HOT
14273,4,4,559.97,United Kingdom,3,3,2,332,1,REGULAR
14396,25,2,487.99,United Kingdom,1,2,2,122,4,LIKELY GONE
14408,1,7,2599.03,United Kingdom,4,4,4,444,2,HOT
14500,11,3,356.85,United Kingdom,2,3,2,232,4,LIKELY GONE
15128,6,4,1471.0,United Kingdom,3,3,3,333,3,PROSPECTIVE
15280,10,1,113.12,United Kingdom,2,1,1,211,4,LIKELY GONE
15307,25,1,205.3,United Kingdom,1,1,1,111,4,LIKELY GONE
15753,22,1,79.2,United Kingdom,1,1,1,111,4,LIKELY GONE
16327,2,6,3820.27,United Kingdom,4,4,4,444,2,HOT
16597,25,1,90.04,United Kingdom,1,1,1,111,4,LIKELY GONE
16745,0,17,7180.7,United Kingdom,4,4,4,444,2,HOT
17560,11,4,854.95,United Kingdom,2,3,3,233,3,PROSPECTIVE
17609,0,5,1105.78,United Kingdom,4,4,3,443,1,REGULAR
17652,3,12,4867.72,United Kingdom,3,4,4,344,2,HOT
17698,6,1,154.95,United Kingdom,3,1,1,311,4,LIKELY GONE
17732,393,1,303.97,United Kingdom,1,1,1,111,0,GONE
17789,27,1,225.9,United Kingdom,1,1,1,111,4,LIKELY GONE
18074,394,1,489.6,United Kingdom,1,1,2,112,0,GONE
12409,8,3,11072.67,Switzerland,2,3,4,234,3,PROSPECTIVE
12579,8,1,440.42,France,2,1,2,212,4,LIKELY GONE
13630,3,7,2031.78,United Kingdom,3,4,4,344,2,HOT
13675,2,2,486.82,United Kingdom,4,2,2,422,1,REGULAR
14248,5,1,302.58,United Kingdom,3,1,1,311,4,LIKELY GONE
14735,1,32,6065.69,United Kingdom,4,4,4,444,2,HOT
15010,26,1,308.94,United Kingdom,1,1,2,112,4,LIKELY GONE
15074,4,1,735.67,United Kingdom,3,1,3,313,1,REGULAR
15432,14,1,171.19,United Kingdom,2,1,1,211,4,LIKELY GONE
15939,2,15,6115.01,United Kingdom,4,4,4,444,2,HOT
16081,5,5,2799.42,United Kingdom,3,4,4,344,3,PROSPECTIVE
16116,18,1,612.78,United Kingdom,1,1,2,112,4,LIKELY GONE
16353,2,23,6675.71,United Kingdom,4,4,4,444,2,HOT
16513,3,4,874.59,United Kingdom,3,3,3,333,1,REGULAR
16863,22,2,502.8,United Kingdom,1,2,2,122,4,LIKELY GONE
17394,26,1,203.87,United Kingdom,1,1,1,111,4,LIKELY GONE
12356,12,3,2811.43,Portugal,2,3,4,234,3,PROSPECTIVE
12435,9,2,7829.89,Denmark,2,2,4,224,3,PROSPECTIVE
12472,4,7,6572.11,Germany,3,4,4,344,2,HOT
12481,2,10,5579.82,Germany,4,4,4,444,2,HOT
12824,19,1,397.12,United Kingdom,1,1,2,112,4,LIKELY GONE
12827,4,3,430.15,United Kingdom,3,3,2,332,1,REGULAR
12955,6,11,4757.16,United Kingdom,3,4,4,344,2,HOT
13213,6,5,1520.58,United Kingdom,3,4,3,343,3,PROSPECTIVE
13300,7,1,371.89,United Kingdom,3,1,2,312,4,LIKELY GONE
13430,9,2,679.45,United Kingdom,2,2,3,223,3,PROSPECTIVE
13581,27,1,118.0,United Kingdom,1,1,1,111,4,LIKELY GONE
13634,5,5,1547.36,United Kingdom,3,4,3,343,3,PROSPECTIVE
13959,9,3,594.04,United Kingdom,2,3,2,232,3,PROSPECTIVE
14282,0,15,3701.44,United Kingdom,4,4,4,444,2,HOT
14472,0,8,1852.67,United Kingdom,4,4,4,444,2,HOT
15607,23,1,104.76,United Kingdom,1,1,1,111,4,LIKELY GONE
15646,23,3,447.64,United Kingdom,1,3,2,132,4,LIKELY GONE
16185,7,2,529.41,United Kingdom,3,2,2,322,3,PROSPECTIVE
16226,10,3,255.12,United Kingdom,2,3,1,231,4,LIKELY GONE
16587,9,1,225.15,United Kingdom,2,1,1,211,4,LIKELY GONE
16747,27,2,836.06,United Kingdom,1,2,3,123,3,PROSPECTIVE
16805,11,2,460.59,United Kingdom,2,2,2,222,4,LIKELY GONE
16806,2,4,762.16,United Kingdom,4,3,3,433,1,REGULAR
17274,26,1,107.82,United Kingdom,1,1,1,111,4,LIKELY GONE
17357,15,2,384.39,United Kingdom,2,2,2,222,4,LIKELY GONE
17757,0,30,5593.39,United Kingdom,4,4,4,444,2,HOT
17767,6,1,271.2,United Kingdom,3,1,1,311,4,LIKELY GONE
17949,0,45,58510.48,United Kingdom,4,4,4,444,2,HOT
17980,3,3,811.45,United Kingdom,3,3,3,333,1,REGULAR
18080,9,2,1231.5,United Kingdom,2,2,3,223,3,PROSPECTIVE
12578,12,2,2794.51,Italy,2,2,4,224,3,PROSPECTIVE
12863,12,1,521.2,United Kingdom,2,1,2,212,4,LIKELY GONE
12917,27,1,594.0,United Kingdom,1,1,2,112,4,LIKELY GONE
13049,5,2,656.68,United Kingdom,3,2,2,322,3,PROSPECTIVE
13193,21,1,112.08,United Kingdom,1,1,1,111,4,LIKELY GONE
13384,3,7,4151.93,United Kingdom,3,4,4,344,2,HOT
14156,0,55,117210.08,EIRE,4,4,4,444,2,HOT
14339,19,1,309.52,United Kingdom,1,1,2,112,4,LIKELY GONE
15114,1,10,2760.56,United Kingdom,4,4,4,444,2,HOT
15133,3,3,982.42,United Kingdom,3,3,3,333,1,REGULAR
15241,0,8,1756.44,United Kingdom,4,4,4,444,2,HOT
15367,17,4,1877.59,United Kingdom,1,3,4,134,3,PROSPECTIVE
16247,8,1,114.56,United Kingdom,2,1,1,211,4,LIKELY GONE
16536,9,1,548.12,United Kingdom,2,1,2,212,4,LIKELY GONE
16767,3,11,5575.56,United Kingdom,3,4,4,344,2,HOT
16979,8,6,1852.0,United Kingdom,2,4,4,244,3,PROSPECTIVE
17186,6,2,144.0,United Kingdom,3,2,1,321,4,LIKELY GONE
17330,13,2,363.9,United Kingdom,2,2,2,222,4,LIKELY GONE
17629,9,8,1814.12,United Kingdom,2,4,4,244,3,PROSPECTIVE
17655,0,7,2638.94,United Kingdom,4,4,4,444,2,HOT
12654,1,5,601.98,Germany,4,4,2,442,1,REGULAR
12762,16,2,1898.52,Portugal,1,2,4,124,3,PROSPECTIVE
13182,5,1,121.18,United Kingdom,3,1,1,311,4,LIKELY GONE
13239,7,1,329.56,United Kingdom,3,1,2,312,4,LIKELY GONE
13403,8,1,75.0,United Kingdom,2,1,1,211,4,LIKELY GONE
13456,8,6,1766.72,United Kingdom,2,4,4,244,3,PROSPECTIVE
13670,5,1,349.7,United Kingdom,3,1,2,312,4,LIKELY GONE
13892,12,4,632.97,United Kingdom,2,3,2,232,3,PROSPECTIVE
14234,5,4,754.12,United Kingdom,3,3,3,333,3,PROSPECTIVE
14475,1,3,925.85,United Kingdom,4,3,3,433,1,REGULAR
14518,24,1,174.37,United Kingdom,1,1,1,111,4,LIKELY GONE
14882,17,2,589.7,United Kingdom,1,2,2,122,3,PROSPECTIVE
14890,0,1,125.65,United Kingdom,4,1,1,411,1,REGULAR
14896,11,2,468.77,United Kingdom,2,2,2,222,4,LIKELY GONE
15626,4,2,675.8,United Kingdom,3,2,3,323,1,REGULAR
15695,12,2,409.98,United Kingdom,2,2,2,222,4,LIKELY GONE
16098,11,7,2005.63,United Kingdom,2,4,4,244,3,PROSPECTIVE
16319,24,1,404.4,United Kingdom,1,1,2,112,4,LIKELY GONE
16446,12,2,168472.5,United Kingdom,2,2,4,224,2,HOT
16716,12,2,901.2,United Kingdom,2,2,3,223,3,PROSPECTIVE
17510,15,1,308.48,United Kingdom,2,1,2,212,4,LIKELY GONE
17759,7,3,819.96,United Kingdom,3,3,3,333,3,PROSPECTIVE
17843,21,1,205.48,United Kingdom,1,1,1,111,4,LIKELY GONE
17948,15,1,358.56,United Kingdom,2,1,2,212,4,LIKELY GONE
18027,28,1,115.31,United Kingdom,1,1,1,111,4,LIKELY GONE
12365,9,2,641.38,Cyprus,2,2,2,222,3,PROSPECTIVE
12593,7,3,418.1,France,3,3,2,332,3,PROSPECTIVE
12879,4,3,573.22,United Kingdom,3,3,2,332,1,REGULAR
12919,7,6,1335.19,United Kingdom,3,4,3,343,3,PROSPECTIVE
12974,4,1,144.8,United Kingdom,3,1,1,311,4,LIKELY GONE
13047,0,10,3237.54,United Kingdom,4,4,4,444,2,HOT
13260,21,1,557.62,United Kingdom,1,1,2,112,4,LIKELY GONE
13471,7,4,2501.84,United Kingdom,3,3,4,334,3,PROSPECTIVE
13509,0,7,979.72,United Kingdom,4,4,3,443,1,REGULAR
13654,3,6,2707.33,United Kingdom,3,4,4,344,2,HOT
13761,10,2,1070.65,United Kingdom,2,2,3,223,3,PROSPECTIVE
13802,0,3,4599.42,United Kingdom,4,3,4,434,2,HOT
14483,27,1,137.1,United Kingdom,1,1,1,111,4,LIKELY GONE
14675,7,1,596.36,United Kingdom,3,1,2,312,4,LIKELY GONE
14823,1,3,321.43,United Kingdom,4,3,2,432,1,REGULAR
15057,2,2,1489.5,United Kingdom,4,2,3,423,1,REGULAR
15311,1,91,60632.75,United Kingdom,4,4,4,444,2,HOT
15785,4,5,2328.97,United Kingdom,3,4,4,344,3,PROSPECTIVE
15870,23,1,351.44,United Kingdom,1,1,2,112,4,LIKELY GONE
16122,3,4,684.42,United Kingdom,3,3,3,333,1,REGULAR
16147,1,1,375.0,United Kingdom,4,1,2,412,1,REGULAR
16315,17,1,226.37,United Kingdom,1,1,1,111,4,LIKELY GONE
16655,0,6,3789.52,United Kingdom,4,4,4,444,2,HOT
17634,7,9,2358.59,United Kingdom,3,4,4,344,2,HOT
17705,4,9,1823.52,United Kingdom,3,4,4,344,2,HOT
17806,2,1,546.04,United Kingdom,4,1,2,412,1,REGULAR
12358,18,2,1168.06,Austria,1,2,3,123,3,PROSPECTIVE
12651,21,1,114.0,France,1,1,1,111,4,LIKELY GONE
12877,3,12,1535.77,United Kingdom,3,4,3,343,2,HOT
13029,6,3,1247.5,United Kingdom,3,3,3,333,3,PROSPECTIVE
13242,11,3,270.4,United Kingdom,2,3,1,231,4,LIKELY GONE
13514,3,1,152.2,United Kingdom,3,1,1,311,4,LIKELY GONE
13652,2,3,1095.08,United Kingdom,4,3,3,433,1,REGULAR
13844,2,1,361.62,United Kingdom,4,1,2,412,1,REGULAR
14640,4,6,2107.38,United Kingdom,3,4,4,344,3,PROSPECTIVE
14657,8,4,848.22,United Kingdom,2,3,3,233,3,PROSPECTIVE
14793,12,1,228.99,United Kingdom,2,1,1,211,4,LIKELY GONE
15066,13,1,893.59,United Kingdom,2,1,3,213,3,PROSPECTIVE
15113,0,3,3509.43,United Kingdom,4,3,4,434,2,HOT
16552,19,2,379.73,United Kingdom,1,2,2,122,4,LIKELY GONE
16820,25,1,497.61,United Kingdom,1,1,2,112,4,LIKELY GONE
16926,392,1,230.25,United Kingdom,1,1,1,111,0,GONE
17571,10,4,1425.67,United Kingdom,2,3,3,233,3,PROSPECTIVE
17572,1,4,226.75,United Kingdom,4,3,1,431,1,REGULAR
17864,3,3,554.85,United Kingdom,3,3,2,332,1,REGULAR
18099,26,1,168.31,United Kingdom,1,1,1,111,4,LIKELY GONE
12424,0,2,1760.96,Australia,4,2,4,424,1,REGULAR
12562,5,7,3781.74,France,3,4,4,344,2,HOT
12904,9,2,496.06,United Kingdom,2,2,2,222,4,LIKELY GONE
12981,1,2,372.22,United Kingdom,4,2,2,422,1,REGULAR
13044,9,1,560.47,United Kingdom,2,1,2,212,4,LIKELY GONE
13650,7,6,1836.34,United Kingdom,3,4,4,344,3,PROSPECTIVE
13982,0,4,1871.81,United Kingdom,4,3,4,434,1,REGULAR
14004,3,7,4582.64,United Kingdom,3,4,4,344,2,HOT
14006,0,3,962.19,United Kingdom,4,3,3,433,1,REGULAR
14080,23,1,45.6,United Kingdom,1,1,1,111,4,LIKELY GONE
14403,9,4,1475.81,United Kingdom,2,3,3,233,3,PROSPECTIVE
14649,2,4,1402.59,United Kingdom,4,3,3,433,1,REGULAR
14799,11,1,157.7,United Kingdom,2,1,1,211,4,LIKELY GONE
14918,14,2,1610.15,United Kingdom,2,2,3,223,3,PROSPECTIVE
15247,21,1,356.0,United Kingdom,1,1,2,112,4,LIKELY GONE
15408,10,1,267.18,United Kingdom,2,1,1,211,4,LIKELY GONE
15797,6,4,2207.4,United Kingdom,3,3,4,334,3,PROSPECTIVE
15947,12,1,1708.24,United Kingdom,2,1,4,214,3,PROSPECTIVE
16014,9,3,646.83,United Kingdom,2,3,2,232,3,PROSPECTIVE
16719,4,7,1770.22,United Kingdom,3,4,4,344,3,PROSPECTIVE
16842,0,3,1264.19,United Kingdom,4,3,3,433,1,REGULAR
16910,0,8,1508.96,United Kingdom,4,4,3,443,2,HOT
17080,13,2,287.62,United Kingdom,2,2,1,221,4,LIKELY GONE
17230,10,8,3638.41,United Kingdom,2,4,4,244,2,HOT
17362,16,2,312.23,United Kingdom,1,2,2,122,4,LIKELY GONE
17515,5,4,639.02,United Kingdom,3,3,2,332,3,PROSPECTIVE
17722,11,4,2424.04,United Kingdom,2,3,4,234,3,PROSPECTIVE
17899,27,1,154.55,United Kingdom,1,1,1,111,4,LIKELY GONE
12374,16,1,742.93,Austria,1,1,3,113,4,LIKELY GONE
12567,7,10,9401.28,France,3,4,4,344,2,HOT
12650,24,1,314.44,France,1,1,2,112,4,LIKELY GONE
12729,12,1,453.01,France,2,1,2,212,4,LIKELY GONE
12821,21,1,92.72,United Kingdom,1,1,1,111,4,LIKELY GONE
13094,10,12,1927.32,United Kingdom,2,4,4,244,2,HOT
13271,28,1,211.49,United Kingdom,1,1,1,111,4,LIKELY GONE
13466,22,1,307.9,United Kingdom,1,1,2,112,4,LIKELY GONE
13737,7,1,339.6,United Kingdom,3,1,2,312,4,LIKELY GONE
13786,388,1,230.4,United Kingdom,1,1,1,111,0,GONE
13791,6,2,1516.0,United Kingdom,3,2,3,323,3,PROSPECTIVE
13803,1,1,277.07,United Kingdom,4,1,1,411,1,REGULAR
13908,9,4,2369.55,United Kingdom,2,3,4,234,3,PROSPECTIVE
14126,1,3,706.13,United Kingdom,4,3,3,433,1,REGULAR
14145,6,4,3742.2,United Kingdom,3,3,4,334,3,PROSPECTIVE
14152,5,2,621.29,United Kingdom,3,2,2,322,3,PROSPECTIVE
14208,24,1,151.74,United Kingdom,1,1,1,111,4,LIKELY GONE
14522,1,4,974.54,United Kingdom,4,3,3,433,1,REGULAR
14524,1,9,1843.83,United Kingdom,4,4,4,444,2,HOT
14533,11,7,1949.72,United Kingdom,2,4,4,244,3,PROSPECTIVE
15039,0,47,19766.59,United Kingdom,4,4,4,444,2,HOT
15189,0,41,16225.39,United Kingdom,4,4,4,444,2,HOT
15466,15,1,334.53,United Kingdom,2,1,2,212,4,LIKELY GONE
16120,19,4,1309.14,United Kingdom,1,3,3,133,3,PROSPECTIVE
16666,10,1,118.98,United Kingdom,2,1,1,211,4,LIKELY GONE
16746,0,18,6680.11,United Kingdom,4,4,4,444,2,HOT
16905,6,7,3037.6,United Kingdom,3,4,4,344,2,HOT
17324,8,4,986.48,United Kingdom,2,3,3,233,3,PROSPECTIVE
17373,0,4,646.92,United Kingdom,4,3,2,432,1,REGULAR
17385,5,1,256.11,United Kingdom,3,1,1,311,4,LIKELY GONE
17594,0,2,993.18,United Kingdom,4,2,3,423,1,REGULAR
12691,5,6,1035.8,France,3,4,3,343,3,PROSPECTIVE
12849,14,2,1010.29,United Kingdom,2,2,3,223,3,PROSPECTIVE
13375,18,1,778.65,United Kingdom,1,1,3,113,4,LIKELY GONE
13447,14,3,1129.14,United Kingdom,2,3,3,233,3,PROSPECTIVE
13621,15,1,213.85,United Kingdom,2,1,1,211,4,LIKELY GONE
14508,13,2,268.05,United Kingdom,2,2,1,221,4,LIKELY GONE
14968,21,1,147.59,United Kingdom,1,1,1,111,4,LIKELY GONE
15419,15,1,135.86,United Kingdom,2,1,1,211,4,LIKELY GONE
15463,20,1,126.14,United Kingdom,1,1,1,111,4,LIKELY GONE
16099,2,3,731.9,United Kingdom,4,3,3,433,1,REGULAR
16146,9,3,734.13,United Kingdom,2,3,3,233,3,PROSPECTIVE
16697,18,1,112.75,United Kingdom,1,1,1,111,4,LIKELY GONE
16764,0,13,2790.95,United Kingdom,4,4,4,444,2,HOT
17429,23,3,524.92,United Kingdom,1,3,2,132,3,PROSPECTIVE
17615,10,3,329.6,United Kingdom,2,3,2,232,4,LIKELY GONE
18035,3,3,713.89,United Kingdom,3,3,3,333,1,REGULAR
18241,0,17,2073.09,United Kingdom,4,4,4,444,2,HOT
12390,9,1,549.84,Belgium,2,1,2,212,4,LIKELY GONE
13345,5,1,389.5,United Kingdom,3,1,2,312,4,LIKELY GONE
13408,0,62,28117.04,United Kingdom,4,4,4,444,2,HOT
13721,27,1,524.14,United Kingdom,1,1,2,112,4,LIKELY GONE
13722,0,3,2375.41,United Kingdom,4,3,4,434,1,REGULAR
13812,2,3,539.0,Germany,4,3,2,432,1,REGULAR
13914,2,2,626.45,United Kingdom,4,2,2,422,1,REGULAR
14276,7,3,1119.74,United Kingdom,3,3,3,333,3,PROSPECTIVE
14280,3,1,134.04,United Kingdom,3,1,1,311,4,LIKELY GONE
14353,22,1,90.6,United Kingdom,1,1,1,111,4,LIKELY GONE
14548,4,2,652.8,United Kingdom,3,2,2,322,1,REGULAR
15901,7,3,351.73,United Kingdom,3,3,2,332,4,LIKELY GONE
16612,18,4,1187.66,United Kingdom,1,3,3,133,3,PROSPECTIVE
16628,3,5,2188.05,United Kingdom,3,4,4,344,3,PROSPECTIVE
16829,24,1,197.22,United Kingdom,1,1,1,111,4,LIKELY GONE
17286,12,1,151.37,United Kingdom,2,1,1,211,4,LIKELY GONE
17760,12,2,287.59,United Kingdom,2,2,1,221,4,LIKELY GONE
17896,14,1,256.32,United Kingdom,2,1,1,211,4,LIKELY GONE
17991,2,2,93.35,United Kingdom,4,2,1,421,4,LIKELY GONE
18008,0,9,2116.19,United Kingdom,4,4,4,444,2,HOT
12475,13,1,723.38,Germany,2,1,3,213,4,LIKELY GONE
12909,0,5,2178.67,United Kingdom,4,4,4,444,2,HOT
12929,29,1,117.85,United Kingdom,1,1,1,111,4,LIKELY GONE
12956,24,1,108.07,United Kingdom,1,1,1,111,4,LIKELY GONE
13388,0,2,677.1,United Kingdom,4,2,3,423,1,REGULAR
13955,22,2,322.96,United Kingdom,1,2,2,122,4,LIKELY GONE
14662,3,4,741.37,United Kingdom,3,3,3,333,1,REGULAR
15379,7,7,3703.29,United Kingdom,3,4,4,344,2,HOT
15752,0,7,2626.6,United Kingdom,4,4,4,444,2,HOT
15916,7,8,1502.86,United Kingdom,3,4,3,343,3,PROSPECTIVE
16142,26,1,535.34,United Kingdom,1,1,2,112,4,LIKELY GONE
16627,9,1,322.8,United Kingdom,2,1,2,212,4,LIKELY GONE
16720,17,1,152.95,United Kingdom,1,1,1,111,4,LIKELY GONE
16826,11,1,341.7,United Kingdom,2,1,2,212,4,LIKELY GONE
17636,10,1,285.56,United Kingdom,2,1,1,211,4,LIKELY GONE
17958,15,1,508.46,United Kingdom,2,1,2,212,4,LIKELY GONE
18121,17,2,653.3,United Kingdom,1,2,2,122,3,PROSPECTIVE
18139,8,6,8438.34,United Kingdom,2,4,4,244,2,HOT
18213,13,1,232.48,United Kingdom,2,1,1,211,4,LIKELY GONE
12350,28,1,334.4,Norway,1,1,2,112,4,LIKELY GONE
12452,7,2,430.57,Switzerland,3,2,2,322,4,LIKELY GONE
12520,5,5,2634.26,Germany,3,4,4,344,3,PROSPECTIVE
12531,5,1,125.22,Germany,3,1,1,311,4,LIKELY GONE
13216,13,1,333.74,United Kingdom,2,1,2,212,4,LIKELY GONE
13460,9,2,183.44,United Kingdom,2,2,1,221,4,LIKELY GONE
13579,5,2,467.04,United Kingdom,3,2,2,322,1,REGULAR
14001,5,3,2043.08,United Kingdom,3,3,4,334,3,PROSPECTIVE
14219,25,1,89.94,United Kingdom,1,1,1,111,4,LIKELY GONE
14382,17,1,615.49,United Kingdom,1,1,2,112,4,LIKELY GONE
14434,2,6,1372.8,United Kingdom,4,4,3,443,1,REGULAR
14476,3,1,193.0,United Kingdom,3,1,1,311,4,LIKELY GONE
14527,0,55,8507.13,United Kingdom,4,4,4,444,2,HOT
14541,3,8,1453.35,United Kingdom,3,4,3,343,2,HOT
14716,3,2,307.51,United Kingdom,3,2,2,322,1,REGULAR
15755,1,6,2364.25,United Kingdom,4,4,4,444,2,HOT
15823,393,1,15.0,United Kingdom,1,1,1,111,0,GONE
15825,10,1,532.94,United Kingdom,2,1,2,212,4,LIKELY GONE
16070,13,2,852.15,United Kingdom,2,2,3,223,3,PROSPECTIVE
16133,0,33,14589.04,United Kingdom,4,4,4,444,2,HOT
16235,0,5,867.31,United Kingdom,4,4,3,443,1,REGULAR
16358,9,4,2027.5,United Kingdom,2,3,4,234,3,PROSPECTIVE
17026,23,2,154.83,United Kingdom,1,2,1,121,4,LIKELY GONE
